ISO3,Country,Latitude,Longitude
QAT,Qatar,24.754743,50.810108
ROU,Romania,47.882194,22.710531
RUS,Russia,"[144.654148, 48.976391]","[143.648007, 50.7476]"
RWA,Rwanda,-1.134659,30.419105
ESH,Western Sahara,27.120696,-8.794884
SAU,Saudi Arabia,16.347891,42.779332
SDN,Sudan,9.464285,33.963392999999996
SSD,South Sudan,9.464285,33.963392999999996
SEN,Senegal,13.594959,-16.713729
SLB,Solomon Islands,"[162.398646, -10.826367]","[162.119025, -10.482719]"
SLE,Sierra Leone,6.7859169999999995,-11.438779
SLV,El Salvador,13.38448,-87.793111
-99,Somaliland,9.451749,48.93813
SOM,Somalia,11.5789,49.72862
SRB,Republic of Serbia,45.416375,20.874313
SUR,Suriname,5.97315,-57.147436
SVK,Slovakia,49.49623,18.853144
SVN,Slovenia,46.509306,13.806475
SWE,Sweden,"[21.213517, 65.026005]","[22.183173, 65.723741]"
SWZ,Swaziland,-26.73382,32.071665
SYR,Syria,33.378686,38.792341
TCD,Chad,12.859396,14.495787
TGO,Togo,6.142158,1.865241
THA,Thailand,12.186595,102.584932
TJK,Tajikistan,40.244366,71.014198
TKM,Turkmenistan,35.650072,61.210817
TLS,East Timor,-8.89279,124.968682
TTO,Trinidad and Tobago,10.76,-61.68
TUN,Tunisia,30.307556,9.48214
TUR,Turkey,"[38.347665, 40.948586]","[36.913127, 41.335358]"
TWN,Taiwan,24.394274,121.777818
TZA,United Republic of Tanzania,-0.9500000000000001,33.903711
UGA,Uganda,-1.02736,31.86617
UKR,Ukraine,52.101678,31.785998
URY,Uruguay,-30.216295,-57.625133
USA,United States of America,"[-155.68817, 18.91619]","[-155.54211, 19.08348]"
UZB,Uzbekistan,37.362784,66.518607
VEN,Venezuela,11.776284,-71.331584
VNM,Vietnam,21.55238,108.05018
VUT,Vanuatu,"[167.515181, -16.59785]","[167.844877, -16.466333]"
PSE,West Bank,32.393992,35.545665
YEM,Yemen,16.651051,53.108573
ZAF,South Africa,-29.257387,31.521001
ZMB,Zambia,-9.230599,32.759375
ZWE,Zimbabwe,-22.25151,31.191409
